Structure name,Size (bits),Offset (bytes)
communication_path_definition,448
communication_path_definition.source_node,32,0
communication_path_definition.destination_node,32,4
communication_path_definition.instance,32,8
communication_path_definition.source_ib_device,64,16
communication_path_definition.destination_ib_device,64,24
communication_path_definition.source_port_num,8,32
communication_path_definition.destination_port_num,8,33
communication_path_definition.max_message_size,32,36
communication_path_definition.num_message_buffers,32,40
communication_path_definition.allocation_type,32,44
communication_path_definition.tx_polls_for_errors,8,48
communication_path_definition.tx_checks_memory_buffer_size,8,49
ib_port_endpoint,2560
ib_port_endpoint.num_devices,32,0
ib_port_endpoint.device_list,64,8
ib_port_endpoint.selected_device,64,16
ib_port_endpoint.device_context,64,24
ib_port_endpoint.device_pd,64,32
ib_port_endpoint.device_attributes,1856,40
ib_port_endpoint.device_attributes.fw_ver,512,40
ib_port_endpoint.device_attributes.node_guid,64,104
ib_port_endpoint.device_attributes.sys_image_guid,64,112
ib_port_endpoint.device_attributes.max_mr_size,64,120
ib_port_endpoint.device_attributes.page_size_cap,64,128
ib_port_endpoint.device_attributes.vendor_id,32,136
ib_port_endpoint.device_attributes.vendor_part_id,32,140
ib_port_endpoint.device_attributes.hw_ver,32,144
ib_port_endpoint.device_attributes.max_qp,32,148
ib_port_endpoint.device_attributes.max_qp_wr,32,152
ib_port_endpoint.device_attributes.device_cap_flags,32,156
ib_port_endpoint.device_attributes.max_sge,32,160
ib_port_endpoint.device_attributes.max_sge_rd,32,164
ib_port_endpoint.device_attributes.max_cq,32,168
ib_port_endpoint.device_attributes.max_cqe,32,172
ib_port_endpoint.device_attributes.max_mr,32,176
ib_port_endpoint.device_attributes.max_pd,32,180
ib_port_endpoint.device_attributes.max_qp_rd_atom,32,184
ib_port_endpoint.device_attributes.max_ee_rd_atom,32,188
ib_port_endpoint.device_attributes.max_res_rd_atom,32,192
ib_port_endpoint.device_attributes.max_qp_init_rd_atom,32,196
ib_port_endpoint.device_attributes.max_ee_init_rd_atom,32,200
ib_port_endpoint.device_attributes.atomic_cap,32,204
ib_port_endpoint.device_attributes.max_ee,32,208
ib_port_endpoint.device_attributes.max_rdd,32,212
ib_port_endpoint.device_attributes.max_mw,32,216
ib_port_endpoint.device_attributes.max_raw_ipv6_qp,32,220
ib_port_endpoint.device_attributes.max_raw_ethy_qp,32,224
ib_port_endpoint.device_attributes.max_mcast_grp,32,228
ib_port_endpoint.device_attributes.max_mcast_qp_attach,32,232
ib_port_endpoint.device_attributes.max_total_mcast_qp_attach,32,236
ib_port_endpoint.device_attributes.max_ah,32,240
ib_port_endpoint.device_attributes.max_fmr,32,244
ib_port_endpoint.device_attributes.max_map_per_fmr,32,248
ib_port_endpoint.device_attributes.max_srq,32,252
ib_port_endpoint.device_attributes.max_srq_wr,32,256
ib_port_endpoint.device_attributes.max_srq_sge,32,260
ib_port_endpoint.device_attributes.max_pkeys,16,264
ib_port_endpoint.device_attributes.local_ca_ack_delay,8,266
ib_port_endpoint.device_attributes.phys_port_cnt,8,267
ib_port_endpoint.port_attributes,384,272
ib_port_endpoint.port_attributes.state,32,272
ib_port_endpoint.port_attributes.max_mtu,32,276
ib_port_endpoint.port_attributes.active_mtu,32,280
ib_port_endpoint.port_attributes.gid_tbl_len,32,284
ib_port_endpoint.port_attributes.port_cap_flags,32,288
ib_port_endpoint.port_attributes.max_msg_sz,32,292
ib_port_endpoint.port_attributes.bad_pkey_cntr,32,296
ib_port_endpoint.port_attributes.qkey_viol_cntr,32,300
ib_port_endpoint.port_attributes.pkey_tbl_len,16,304
ib_port_endpoint.port_attributes.lid,16,306
ib_port_endpoint.port_attributes.sm_lid,16,308
ib_port_endpoint.port_attributes.lmc,8,310
ib_port_endpoint.port_attributes.max_vl_num,8,311
ib_port_endpoint.port_attributes.sm_sl,8,312
ib_port_endpoint.port_attributes.subnet_timeout,8,313
ib_port_endpoint.port_attributes.init_type_reply,8,314
ib_port_endpoint.port_attributes.active_width,8,315
ib_port_endpoint.port_attributes.active_speed,8,316
ib_port_endpoint.port_attributes.phys_state,8,317
ib_port_endpoint.port_attributes.link_layer,8,318
ib_port_endpoint.port_attributes.reserved,8,319
memory_buffer_attributes,320
memory_buffer_attributes.size,64,0
memory_buffer_attributes.addr,64,8
memory_buffer_attributes.rkey,32,16
memory_buffer_attributes.lid,16,20
memory_buffer_attributes.psn,32,24
memory_buffer_attributes.qp_num,32,28
memory_buffer_attributes.qp_ready_to_receive,32,32
communication_path_slp_connection,25344
communication_path_slp_connection.handle,64,0
communication_path_slp_connection.local_service_url,8192,8
communication_path_slp_connection.remote_service_name,8192,1032
communication_path_slp_connection.remote_service_url,8192,2056
communication_path_slp_connection.remote_attributes_obtained,8,3080
communication_path_slp_connection.local_attributes,320,3088
communication_path_slp_connection.local_attributes.size,64,3088
communication_path_slp_connection.local_attributes.addr,64,3096
communication_path_slp_connection.local_attributes.rkey,32,3104
communication_path_slp_connection.local_attributes.lid,16,3108
communication_path_slp_connection.local_attributes.psn,32,3112
communication_path_slp_connection.local_attributes.qp_num,32,3116
communication_path_slp_connection.local_attributes.qp_ready_to_receive,32,3120
communication_path_slp_connection.remote_attributes,320,3128
communication_path_slp_connection.remote_attributes.size,64,3128
communication_path_slp_connection.remote_attributes.addr,64,3136
communication_path_slp_connection.remote_attributes.rkey,32,3144
communication_path_slp_connection.remote_attributes.lid,16,3148
communication_path_slp_connection.remote_attributes.psn,32,3152
communication_path_slp_connection.remote_attributes.qp_num,32,3156
communication_path_slp_connection.remote_attributes.qp_ready_to_receive,32,3160
memory_buffer,33024
memory_buffer.allocation_type,32,0
memory_buffer.size,64,8
memory_buffer.buffer,64,16
memory_buffer.pathname,32768,24
memory_buffer.fd,32,4120
message_header,128
message_header.sequence_number,32,0
message_header.message_length,32,4
message_header.message_id,32,8
message_header.source_instance,32,12
tx_api_message_buffer,256
tx_api_message_buffer.header,64,0
tx_api_message_buffer.data,64,8
tx_api_message_buffer.context,64,16
tx_api_message_buffer.buffer_index,32,24
rx_api_message_buffer,256
rx_api_message_buffer.header,64,0
rx_api_message_buffer.data,64,8
rx_api_message_buffer.context,64,16
rx_api_message_buffer.buffer_index,32,24
worker_ready_msg,32800
worker_ready_msg.worker_executable_pathname_len,32,0
worker_ready_msg.worker_executable_pathname,32768,4
request_shutdown_msg,96
request_shutdown_msg.num_requests_per_worker,96,0
worker_to_controller_msgs,32800
controller_to_worker_msgs,96
